,full_name,rating,team,position,height,weight,salary
300,Josh Okogie,73,Minnesota Timberwolves,G,76,213 ,$2530680
301,Jonathon Simmons,73,,G-F,78,195 ,$1000000
302,Ishmael Smith,73,Washington Wizards,G,72,175 ,$6000000
303,Tony Snell,73,Detroit Pistons,F,78,198 ,$11392857
304,Omari Spellman,73,Minnesota Timberwolves,F,80,245 ,$1897800
305,Garrett Temple,73,Brooklyn Nets,G-F,77,195 ,$4767000
306,Evan Turner,73,Minnesota Timberwolves,G-F,78,205 ,$18606556
307,Lonnie Walker,73,San Antonio Spurs,G,77,204 ,$2764200
308,Brad Wanamaker,73,Boston Celtics,G,75,210 ,$1445697
309,Ante Zizic,73,Cleveland Cavaliers,C,82,250 ,$2281800
310,Tyler Herro,73,Miami Heat,G,77,195 ,$3640200
311,Vincent Poirier,73,Boston Celtics,C,84,235 ,$2505793
312,Sekou Doumbouya,73,Detroit Pistons,F,80,209 ,$3285120
313,Brandon Clarke,73,Memphis Grizzlies,F,80,215 ,$2478840
314,Nicolo Melli,73,New Orleans Pelicans,F,81,236 ,$4102564
315,Nassir Little,73,Portland Trail Blazers,F,77,220 ,$2105520
316,Grayson Allen,72,Memphis Grizzlies,G,76,205 ,$2429400
317,Antonio Blakeney,72,,G-F,76,197 ,$1488231
318,Michael Carter-Williams,72,Orlando Magic,G,77,184 ,$2028594
319,Troy Daniels,72,Denver Nuggets,G,76,200 ,$2487033
320,Donte DiVincenzo,72,Milwaukee Bucks,G,76,205 ,$2905800
321,Jared Dudley,72,Los Angeles Lakers,F,78,225 ,$2564753
322,Cristiano Felicio,72,Chicago Bulls,F,82,270 ,$8156500
323,Tim Frazier,72,,G,72,170 ,$1620564
324,Langston Galloway,72,Detroit Pistons,G,73,202 ,$7333333
325,Justin Holiday,72,Indiana Pacers,G,78,180 ,$4767000
326,Chandler Hutchison,72,Chicago Bulls,F,79,196 ,$2332320
327,Wesley Iwundu,72,Orlando Magic,F,78,205 ,$1618520
328,Brandon Knight,72,Detroit Pistons,G,74,189 ,$15643750
329,Courtney Lee,72,Dallas Mavericks,G-F,77,200 ,$12759670
330,Thon Maker,72,Detroit Pistons,F-C,84,216 ,$3569643
331,Patrick McCaw,72,Toronto Raptors,G,79,181 ,$4000000
332,Rodney McGruder,72,Los Angeles Clippers,G,76,205 ,$4807693
333,Darius Miller,72,New Orleans Pelicans,F,78,225 ,$7250000
334,Raul Neto,72,Philadelphia 76ers,G,73,170 ,$1737145
335,Georges Niang,72,Utah Jazz,F,79,230 ,$1645357
336,Cameron Payne,72,Phoenix Suns,G,74,180 ,$346288
337,Anfernee Simons,72,Portland Trail Blazers,G,75,181 ,$2149560
338,Zhaire Smith,72,Philadelphia 76ers,G-F,75,205 ,$3058800
339,Anthony Tolliver,72,Memphis Grizzlies,F,80,240 ,$2854556
340,DJ Wilson,72,Milwaukee Bucks,F,82,234 ,$2961120
341,Alfonzo McKinnie,72,Cleveland Cavaliers,F,80,215 ,$2391985
342,Romeo Langford,72,Boston Celtics,G,76,216 ,$3458400
343,Grant Williams,72,Boston Celtics,F,78,236 ,$2379840
344,Nicolas Claxton,72,Brooklyn Nets,C,83,215 ,$898310
345,PJ Washington,72,Charlotte Hornets,F,79,225 ,$3831840
346,Ryan Arcidiacono,72,Chicago Bulls,G,75,195 ,$3000000
347,Kevin Porter,72,Cleveland Cavaliers,G-F,76,218 ,$1290960
348,Ryan Broekhoff,72,Philadelphia 76ers,F,78,215 ,$2833704
349,Goga Bitadze,72,Indiana Pacers,C,83,250 ,$2816760
350,De'Anthony Melton,72,Memphis Grizzlies,G,74,190 ,$1416852
351,Kenrich Williams,72,New Orleans Pelicans,G-F,78,210 ,$1416852
352,Nickeil Alexander-Walker,72,New Orleans Pelicans,G,77,205 ,$2964840
353,Chuma Okeke,72,,F-C,80,230 ,$2773550
354,Matisse Thybulle,72,Philadelphia 76ers,G-F,77,201 ,$2582160
355,Cameron Johnson,72,Phoenix Suns,F,80,210 ,$4033440
356,Ty Jerome,72,Phoenix Suns,G,77,195 ,$2193480
357,Luka Samanic,72,San Antonio Spurs,F,82,209 ,$2689920
358,Keldon Johnson,72,San Antonio Spurs,F,77,211 ,$1950600
359,Matt Thomas,72,Toronto Raptors,G,76,197 ,$898310
360,Chris Boucher,71,Toronto Raptors,F-C,81,200 ,$1588231
361,Jevon Carter,71,Phoenix Suns,G,73,200 ,$1416852
362,Deyonta Davis,71,,F-C,82,240 ,$250000
363,Jacob Evans,71,Minnesota Timberwolves,G,76,210 ,$1925880
364,Terrance Ferguson,71,Oklahoma City Thunder,G,78,184 ,$2475840
365,Daniel Gafford,71,Chicago Bulls,F,82,234 ,$898310
366,Treveon Graham,71,Atlanta Hawks,G,77,219 ,$1645357
367,Frank Jackson,71,New Orleans Pelicans,G,75,205 ,$1618520
368,Luke Kornet,71,Chicago Bulls,C,86,240 ,$2250000
369,Frank Mason,71,Milwaukee Bucks,G,71,190 ,$79568
370,Ben McLemore,71,Houston Rockets,G,75,189 ,$2028594
371,Dzanan Musa,71,Brooklyn Nets,F,81,195 ,$1911600
372,Elie Okobo,71,Phoenix Suns,G,75,190 ,$1416852
373,Jerome Robinson,71,Washington Wizards,G,76,190 ,$3567720
374,JaKarr Sampson,71,Indiana Pacers,F,79,223 ,$1737145
375,Edmond Sumner,71,Indiana Pacers,G,76,186 ,$2000000
376,Gary Trent Jr,71,Portland Trail Blazers,G,77,209 ,$1416852
377,Moritz Wagner,71,Washington Wizards,F,83,240 ,$2063520
378,Admiral Schofield,71,Washington Wizards,F,77,241 ,$1000000
379,Bruno Fernando,71,Atlanta Hawks,F,81,245 ,$1400000
380,Alen Smailagic,71,Golden State Warriors,F,82,215 ,$898310
381,Eric Paschall,71,Golden State Warriors,F,78,255 ,$898310
382,Carsen Edwards,71,Boston Celtics,G,71,200 ,$1228026
383,KZ Okpala,71,Miami Heat,F,80,215 ,$898310
384,Shake Milton,71,Philadelphia 76ers,C,77,205 ,$1445697
385,Chimezie Metu,71,San Antonio Spurs,F,81,225 ,$1416852
386,Keita Bates-Diop,70,Denver Nuggets,F,80,235 ,$1416852
387,Darius Bazley,70,Oklahoma City Thunder,F,80,200 ,$2284800
388,Tony Bradley,70,Utah Jazz,F-C,82,248 ,$1962360
389,Hamidou Diallo,70,Oklahoma City Thunder,G,77,198 ,$1416852
390,Melvin Frazier,70,Orlando Magic,F,77,201 ,$1416852
391,Solomon Hill,70,Miami Heat,F,78,226 ,$13290395
392,Alize Johnson,70,Indiana Pacers,F,79,201 ,$1416852
393,Skal Labissiere,70,Atlanta Hawks,C-F,82,216 ,$2338846
394,Tyler Lydon,70,,F-C,81,220 ,$50000
395,Sviatoslav Mykhailiuk,70,Detroit Pistons,G,79,205 ,$1416852
396,Johnathan Motley,70,Los Angeles Clippers,F,80,230 ,$79568
397,Abdel Nader,70,Oklahoma City Thunder,F,77,225 ,$1618520
