,full_name,rating,team,position,height,weight,salary
112,RJ Barrett,78,New York Knicks,G,78,202 ,$7839960
113,Ricky Rubio,78,Phoenix Suns,G,75,180 ,$16200000
114,Will Barton,78,Denver Nuggets,G,77,175 ,$12776786
115,Bogdan Bogdanovic,78,Sacramento Kings,G,78,205 ,$8529386
116,Thomas Bryant,78,Washington Wizards,F-C,82,241 ,$8000000
117,Wendell Carter,78,Chicago Bulls,C,81,259 ,$5201400
118,Jordan Clarkson,78,Utah Jazz,G,76,186 ,$13437500
119,Evan Fournier,78,Orlando Magic,G,79,190 ,$17150000
120,Eric Gordon,78,Houston Rockets,G,75,215 ,$14057730
121,JaMychal Green,78,Los Angeles Clippers,F,80,220 ,$4767000
122,Joe Harris,78,Brooklyn Nets,G,78,215 ,$7666667
123,Andre Iguodala,78,Miami Heat,G-F,78,207 ,$17185185
124,Caris LeVert,78,Brooklyn Nets,G,78,191 ,$2625717
125,Marcus Morris,78,Los Angeles Clippers,F,80,235 ,$15000000
126,Dejounte Murray,78,San Antonio Spurs,G,76,170 ,$2321735
127,Larry Nance Jr,78,Cleveland Cavaliers,F,79,227 ,$12727273
128,Kelly Olynyk,78,Miami Heat,C,83,234 ,$12667885
129,Kelly Oubre,78,Phoenix Suns,F-G,79,203 ,$15625000
130,Jabari Parker,78,Sacramento Kings,F,80,235 ,$6500000
131,Bobby Portis,78,New York Knicks,F-C,82,246 ,$15000000
132,Terry Rozier,78,Charlotte Hornets,G,73,190 ,$19894737
133,Dennis Schroeder,78,Oklahoma City Thunder,G,73,172 ,$15500000
134,Jeff Teague,78,Atlanta Hawks,G,75,181 ,$19000000
135,Derrick White,78,San Antonio Spurs,G,76,200 ,$1948080
136,Justise Winslow,78,Memphis Grizzlies,F,78,222 ,$13000000
137,Darius Garland,77,Cleveland Cavaliers,G,73,175 ,$6400920
138,De'Andre Hunter,77,Atlanta Hawks,F,79,225 ,$7068360
139,Al-Farouq Aminu,77,Orlando Magic,F,80,215 ,$9258000
140,Mo Bamba,77,Orlando Magic,C,84,225 ,$5697600
141,Nicolas Batum,77,Charlotte Hornets,F-G,81,210 ,$25565217
142,Malik Beasley,77,Minnesota Timberwolves,G,76,198 ,$2731713
143,Nemanja Bjelica,77,Sacramento Kings,F-G,82,224 ,$6825000
144,DeMarre Carroll,77,Houston Rockets,F,78,212 ,$7339258
145,Ed Davis,77,Utah Jazz,F,81,215 ,$4767000
146,Taj Gibson,77,New York Knicks,F,81,225 ,$9000000
147,Jerami Grant,77,Denver Nuggets,F,80,214 ,$9346153
148,Danny Green,77,Los Angeles Lakers,G,78,209 ,$14634147
149,Tim Hardaway Jr,77,Dallas Mavericks,G,77,199 ,$20025127
150,Alex Len,77,Sacramento Kings,C,84,225 ,$4160000
151,Kevon Looney,77,Golden State Warriors,F,81,222 ,$4464286
152,Monte Morris,77,Denver Nuggets,G,74,175 ,$1588231
153,Nerlens Noel,77,Oklahoma City Thunder,F-C,82,206 ,$1882867
154,Mason Plumlee,77,Denver Nuggets,C-F,83,238 ,$14041096
155,Jakob Poeltl,77,San Antonio Spurs,C-F,85,239 ,$3754885
156,Dwight Powell,77,Dallas Mavericks,F-C,82,234 ,$10259375
157,Taurean Prince,77,Brooklyn Nets,F,79,220 ,$3481985
158,Dario Saric,77,Phoenix Suns,F,82,216 ,$3481985
159,Collin Sexton,77,Cleveland Cavaliers,G,73,190 ,$4764960
160,Dennis Smith,77,New York Knicks,G,74,195 ,$4463640
161,Cody Zeller,77,Charlotte Hornets,C-F,84,230 ,$14471910
162,Ivica Zubac,77,Los Angeles Clippers,C,84,265 ,$6481482
163,Jarrett Culver,77,Minnesota Timberwolves,G,78,195 ,$5813640
164,Willy Hernangomez,76,Charlotte Hornets,C-F,83,255 ,$1676735
165,Trevor Ariza,76,Portland Trail Blazers,F-G,80,210 ,$12200000
166,DJ Augustin,76,Orlando Magic,G,71,180 ,$7250000
167,Jose Juan Barea,76,Dallas Mavericks,G,70,175 ,$2564753
168,Michael Beasley,76,,F,82,235 ,$3500000
169,Davis Bertans,76,Washington Wizards,F,82,211 ,$7000000
170,Avery Bradley,76,Los Angeles Lakers,G,75,195 ,$6767000
171,Miles Bridges,76,Charlotte Hornets,F,78,225 ,$3755400
172,Jalen Brunson,76,Dallas Mavericks,G,73,190 ,$1416852
173,Kentavious Caldwell-Pope,76,Los Angeles Lakers,G,77,204 ,$8089282
174,Jae Crowder,76,Miami Heat,F,78,235 ,$7815533
175,Dewayne Dedmon,76,Atlanta Hawks,C,84,239 ,$13333334
176,Gorgui Dieng,76,Memphis Grizzlies,C,82,230 ,$16229213
177,Gerald Green,76,,F-G,78,192 ,$2564753
178,Jeff Green,76,Houston Rockets,F,80,235 ,$3405180
179,Rodney Hood,76,Portland Trail Blazers,F,80,208 ,$5718000
180,Kevin Huerter,76,Atlanta Hawks,G,79,190 ,$2636280
181,Ersan Ilyasova,76,Milwaukee Bucks,F,81,235 ,$7000000
182,Jonathan Isaac,76,Orlando Magic,F,83,205 ,$5806440
183,Josh Jackson,76,Memphis Grizzlies,F,80,203 ,$7059480
184,Frank Kaminsky,76,Phoenix Suns,F-C,84,231 ,$4767000
185,Michael Kidd-Gilchrist,76,Dallas Mavericks,F,78,232 ,$12784359
186,Kevin Knox,76,New York Knicks,F,79,215 ,$4380120
187,Meyers Leonard,76,Miami Heat,C,84,245 ,$11286515
188,Wesley Matthews,76,Milwaukee Bucks,G,76,220 ,$2564753
189,Emmanuel Mudiay,76,Utah Jazz,G,75,190 ,$1737145
190,Jahlil Okafor,76,New Orleans Pelicans,C,82,270 ,$1702486
191,Elfrid Payton,76,New York Knicks,G,75,185 ,$8000000
192,Michael Porter,76,Denver Nuggets,F,82,215 ,$3389400
193,Austin Rivers,76,Houston Rockets,G,75,200 ,$2174310
194,Andre Roberson,76,Oklahoma City Thunder,G-F,79,206 ,$10740740
195,Rajon Rondo,76,Los Angeles Lakers,G,73,186 ,$2564753
196,Landry Shamet,76,Los Angeles Clippers,G,76,180 ,$1995120
197,Daniel Theis,76,Boston Celtics,C,80,215 ,$5000000
198,Isaiah Thomas,76,,G,69,185 ,$2320044
199,Dion Waiters,76,Los Angeles Lakers,G,75,210 ,$12475385
200,Marvin Williams,76,Milwaukee Bucks,F,80,240 ,$14654179
201,Delon Wright,76,Dallas Mavericks,G,77,181 ,$9473684
202,Coby White,76,Chicago Bulls,G,76,185 ,$5307120
203,Pau Gasol,75,,C,85,250 ,$5538540
204,Aron Baynes,75,Phoenix Suns,C,82,260 ,$5453280
205,Kent Bazemore,75,Sacramento Kings,G,76,195 ,$19269663
206,Marco Belinelli,75,San Antonio Spurs,G,77,200 ,$5846154
207,Bismack Biyombo,75,Charlotte Hornets,C,80,229 ,$17000000
208,Mikal Bridges,75,Phoenix Suns,F-G,78,209 ,$4161000
209,Wilson Chandler,75,Brooklyn Nets,F-G,80,225 ,$2564753
