player,age,team,position,ppg,assists_per_game,rebounds_per_game,min_per_game
Daniel Gafford,21,CHI,C,5.1,0.5,2.5,14.2
Raul Neto,27,PHI,PG,5.1,1.8,1.1,12.4
Kadeem Allen,27,NYK,PG,5,2.1,0.9,11.7
Isaac Bonga,20,WAS,SF,5,1.2,3.4,18.9
Vince Carter,43,ATL,PF,5,0.8,2.1,14.6
Jamal Crawford,39,BRK,SG,5,3,0,6
Cody Martin,24,CHO,SF,5,2,3.3,18.8
Tony Bradley,22,UTA,C,4.9,0.4,4.6,11.4
Jevon Carter,24,PHO,PG,4.9,1.4,2,16.3
Chris Clemons,22,HOU,SG,4.9,0.8,0.9,8.8
Drew Eubanks,22,SAS,C,4.9,0.7,3.9,12.4
Shaquille Harrison,26,CHI,SG,4.9,1.1,2,11.3
Patrick Patterson,30,LAC,PF,4.9,0.7,2.6,13.2
Edmond Sumner,24,IND,SG,4.9,1.8,1.5,14.4
Matt Thomas,25,TOR,SG,4.9,0.5,1.5,10.7
Mario Hezonja,24,POR,PF,4.8,0.9,3.5,16.4
Džanan Musa,20,BRK,SF,4.8,1.1,2.2,12.2
Mike Muscala,28,OKC,C,4.8,0.9,2.3,12.2
Justin Wright-Foreman,22,UTA,PG,4.8,1.8,1.3,11.3
Cheick Diallo,23,PHO,C,4.7,0.5,2.8,10.2
Isaiah Hartenstein,21,HOU,C,4.7,0.8,3.9,11.6
Thon Maker,22,DET,C,4.7,0.7,2.8,12.9
Matisse Thybulle,22,PHI,SG,4.7,1.2,1.6,19.8
Allen Crabbe,27,2TM,SG,4.6,0.9,2.1,17.6
Allen Crabbe,27,ATL,SG,5.1,1,2.3,18.6
Allen Crabbe,27,MIN,SF,3.2,0.6,1.3,14.6
Andre Iguodala,36,MIA,SF,4.6,2.4,3.7,19.9
Rodions Kurucs,21,BRK,PF,4.6,1.1,2.9,14.6
Patrick McCaw,24,TOR,SF,4.6,2.1,2.3,24.5
Alfonzo McKinnie,27,CLE,SF,4.6,0.4,2.8,14.8
JaKarr Sampson,26,IND,PF,4.6,0.6,2.6,13.9
Dante Exum,24,2TM,SG,4.5,1.1,1.9,13.9
Dante Exum,24,UTA,SG,2.2,0.6,1.1,7.5
Dante Exum,24,CLE,SG,5.6,1.4,2.3,16.8
Ryan Arcidiacono,25,CHI,PG,4.5,1.7,1.9,16
Jerian Grant,27,WAS,SG,4.5,1.5,1,13.3
Courtney Lee,34,DAL,SG,4.5,0.5,1.3,14.4
Treveon Graham,26,2TM,SF,4.4,0.8,2.7,16.9
Treveon Graham,26,MIN,SF,5.2,0.9,3,20.1
Treveon Graham,26,ATL,SF,3.3,0.7,2.3,12.1
Jacob Evans,22,2TM,SG,4.4,1.1,1.4,14.4
Jacob Evans,22,GSW,SG,4.7,1.1,1.5,15.3
Jacob Evans,22,MIN,SG,0,0,0,2
Khem Birch,27,ORL,C,4.4,1,4.6,19.2
Nic Claxton,20,BRK,C,4.4,1.1,2.9,12.5
Yogi Ferrell,26,SAC,PG,4.4,1.4,1,10.6
Ante Žižić,23,CLE,C,4.4,0.3,3,10
Donta Hall,22,2TM,PF,4.3,0.4,4.2,14.8
Donta Hall,22,DET,PF,1.5,0.5,3.8,12
Donta Hall,22,BRK,C,6.6,0.4,4.6,17
Al-Farouq Aminu,29,ORL,PF,4.3,1.2,4.8,21.1
Troy Daniels,28,2TM,SG,4.3,0.4,1.1,11.3
Troy Daniels,28,LAL,SG,4.2,0.3,1.1,11.1
Troy Daniels,28,DEN,SG,4.3,0.5,1,12.7
Bruno Fernando,21,ATL,C,4.3,0.9,3.5,12.7
Ryan Broekhoff,29,DAL,SF,4.2,0.6,2.5,10.6
Iman Shumpert,29,BRK,SF,4.2,0.9,2.6,18.5
Alen Smailagić,19,GSW,C,4.2,0.9,1.9,9.9
Elie Okobo,22,PHO,PG,4,2.1,1.6,13.1
Cristiano Felício,27,CHI,C,3.9,0.7,4.6,17.5
Terrance Ferguson,21,OKC,SF,3.9,0.9,1.3,22.4
Marko Gudurić,24,MEM,SG,3.9,1,1.7,11
Gary Payton II,27,WAS,SF,3.9,1.7,2.8,14.9
DaQuan Jeffries,22,SAC,SG,3.8,0.5,1.4,10.8
Jaylen Nowell,20,MIN,SG,3.8,1.3,0.9,10.1
Noah Vonleh,24,2TM,C,3.7,0.8,3.4,10.5
Noah Vonleh,24,MIN,C,4.1,0.9,4,12
Noah Vonleh,24,DEN,C,1.9,0.3,1.1,4.3
Gary Clark,25,2TM,PF,3.7,0.4,2.6,13.5
Gary Clark,25,HOU,PF,3.9,0.7,2.2,11.8
Gary Clark,25,ORL,SF,3.6,0.2,2.9,14.8
DeMarre Carroll,33,2TM,C,3.6,1,2.3,12.1
DeMarre Carroll,33,SAS,SF,2.2,0.7,2.1,9
DeMarre Carroll,33,HOU,C,6,1.6,2.7,17.2
Anthony Tolliver,34,3TM,PF,3.6,0.8,2.8,15.9
Anthony Tolliver,34,POR,PF,3.9,0.9,3.3,16.8
Anthony Tolliver,34,SAC,PF,1,0.3,1.2,9.1
Anthony Tolliver,34,MEM,PF,4.8,0.8,2.5,18.2
Nicolas Batum,31,CHO,SF,3.6,3,4.5,23
Tim Frazier,29,DET,PG,3.6,3.4,1.2,13.1
Nassir Little,19,POR,PF,3.6,0.5,2.3,11.9
Theo Pinson,24,BRK,SG,3.6,1.7,1.6,11.1
Tremont Waters,22,BOS,PG,3.6,1.5,1.1,10.8
D.J. Wilson,23,MIL,PF,3.6,0.7,2.5,9.8
Mfiondu Kabengele,22,LAC,C,3.5,0.2,0.9,5.3
Kyle O'Quinn,29,PHI,C,3.5,1.8,4,10.8
Miye Oni,22,UTA,SF,3.5,0.4,1.7,10.9
Kenrich Williams,25,NOP,PF,3.5,1.5,4.8,21.3
Javonte Green,26,BOS,SG,3.4,0.5,1.9,9.8
Kevon Looney,23,GSW,C,3.4,1,3.3,13.1
Semi Ojeleye,25,BOS,PF,3.4,0.5,2.1,14.7
Lance Thomas,31,BRK,PF,3.4,0.9,1.9,14
Grant Williams,21,BOS,PF,3.4,1,2.6,15.1
Carsen Edwards,21,BOS,SG,3.3,0.6,1.3,9.5
Tacko Fall,24,BOS,C,3.3,0.1,2.1,4.7
Ty Jerome,22,PHO,SG,3.3,1.4,1.5,10.6
Rodney McGruder,28,LAC,SG,3.3,0.6,2.7,15.6
Evan Turner,31,ATL,SG,3.3,2,2,13.2
Jordan Bell,25,2TM,C,3.2,0.6,2.8,8.8
Jordan Bell,25,MIN,C,3.1,0.5,2.9,8.7
Jordan Bell,25,MEM,C,5,1,1.5,10.5
Goga Bitadze,20,IND,C,3.2,0.4,2,8.7
Amir Coffey,22,LAC,SG,3.2,0.8,0.9,8.8
Chimezie Metu,22,SAS,C,3.2,0.6,1.8,5.8
Paul Watson,25,2TM,SF,3.1,0.8,1.7,8.7
Paul Watson,25,ATL,SF,0,1.5,1,8.5
Paul Watson,25,TOR,SF,3.9,0.6,1.9,8.8
Matthew Dellavedova,29,CLE,PG,3.1,3.2,1.3,14.4
Rayjon Tucker,22,UTA,SG,3.1,0.3,1,8.1
Bruno Caboclo,24,2TM,C,3,0.4,2,8.1
Bruno Caboclo,24,MEM,C,2.8,0.5,2,8.7
Bruno Caboclo,24,HOU,C,3.5,0.3,2,6.5
Zylan Cheatham,24,NOP,PF,3,0.8,2.3,12.8
Udonis Haslem,39,MIA,C,3,0.3,4,11
B.J. Johnson,24,ORL,SF,3,0.3,1.5,8.3
T.J. Leaf,22,IND,PF,3,0.3,2.5,7.9
Admiral Schofield,22,WAS,PF,3,0.5,1.4,11.2
Chris Silva,23,MIA,PF,3,0.5,2.9,7.9
Johnathan Williams,24,WAS,PF,3,0.5,4.3,12
Jaylen Hoard,20,POR,PF,2.9,0.3,2.5,7.9
Adam Mokoka,21,CHI,SF,2.9,0.4,0.9,10.2
Andre Roberson,28,OKC,SF,2.9,0.6,3.9,12.4
Tyrone Wallace,25,ATL,SG,2.9,0.9,1.6,11.4
Justin Anderson,26,BRK,SG,2.8,0.8,2.1,10.7
Thanasis Antetokounmpo,27,MIL,SF,2.8,0.8,1.2,6.5
John Konchar,23,MEM,SG,2.8,1.2,2.5,9.5
Naz Mitrou-Long,26,IND,SG,2.8,1.6,1.4,9.4
Joakim Noah,34,LAC,C,2.8,1.4,3.2,10
Chandler Parsons,31,ATL,PF,2.8,0.6,1.4,10.8
Marial Shayok,24,PHI,SG,2.8,0.3,1.8,7
J.R. Smith,34,LAL,SG,2.8,0.5,0.8,13.2
Jarrod Uthoff,26,2TM,PF,2.7,0,0.9,7.6
Jarrod Uthoff,26,MEM,PF,1,0,0.3,3.5
Jarrod Uthoff,26,WAS,PF,5,0,1.7,13
Jarrell Brantley,23,UTA,PF,2.7,1.2,2.2,10.7
Deonte Burton,26,OKC,SF,2.7,0.4,1.5,9.1
Ryan Anderson,31,HOU,C,2.5,1,3.5,7
Justin James,23,SAC,SF,2.5,0.5,0.9,6.4
Romeo Langford,20,BOS,SG,2.5,0.4,1.3,11.6
Max Strus,23,CHI,SF,2.5,0,0.5,3
Michael Kidd-Gilchrist,26,2TM,PF,2.4,0.6,2.7,11.2
Michael Kidd-Gilchrist,26,CHO,PF,4,0.8,2.9,13.3
Michael Kidd-Gilchrist,26,DAL,PF,0.9,0.3,2.5,9.3
Caleb Swanigan,22,2TM,PF,2.4,1.1,3.7,10.7
Caleb Swanigan,22,SAC,C,0.7,0.3,1,3.3
Caleb Swanigan,22,POR,PF,3,1.5,4.7,13.3
Stanley Johnson,23,TOR,PF,2.4,0.8,1.5,6
Terance Mann,23,LAC,SF,2.4,1.3,1.3,8.8
Norvel Pelle,26,PHI,C,2.4,0.3,3,9.7
Gabe Vincent,23,MIA,PG,2.4,0.7,0.6,9.2
Dewan Hernandez,23,TOR,C,2.3,0.5,2.3,4.7
Shamorie Ponds,21,TOR,PG,2.3,0.5,0.3,2.8
Johnathan Motley,24,LAC,PF,2.2,0.6,0.8,3.2
Thabo Sefolosha,35,HOU,PF,2.2,0.6,2.3,10.6
Wenyen Gabriel,22,2TM,PF,2.1,0.3,1.7,7.8
Wenyen Gabriel,22,SAC,PF,1.7,0.3,0.9,5.5
Wenyen Gabriel,22,POR,PF,2.3,0.3,2.2,9.2
Melvin Frazier,23,ORL,SG,2.1,0.2,0.5,6.6
Michael Frazier,25,HOU,SG,2.1,0.2,0.8,11.2
Khyri Thomas,23,DET,SG,2.1,0.4,0.1,7.6
Zach Norvell,22,2TM,SG,2,0.6,1.2,8.2
Zach Norvell,22,LAL,SG,0,0,0.5,2.5
Zach Norvell,22,GSW,SG,3.3,1,1.7,12
Derrick Walton,24,2TM,PG,2,1,0.6,9.5
Derrick Walton,24,LAC,PG,2.2,1,0.7,9.7
Derrick Walton,24,DET,PG,1,1.7,0.3,8.7
Charlie Brown Jr.,22,ATL,SG,2,0.2,0.4,4
Alize Johnson,23,IND,PF,2,0.4,2.8,6.9
Louis King,20,DET,SF,2,0.5,1,6.2
Jalen Lecque,19,PHO,SG,2,0.4,0.4,6.4
Malik Newman,22,CLE,SG,2,0,0,4
Josh Reaves,22,DAL,SF,2,0.8,0.8,7
Yuta Watanabe,25,MEM,SF,2,0.3,1.1,5.8
Ignas Brazdeikis,21,NYK,SF,1.9,0.4,0.6,5.9
Oshae Brissett,21,TOR,SF,1.9,0.4,1.4,7.1
Vic Law,24,ORL,PF,1.9,0.4,1.4,7.8
Vincent Poirier,26,BOS,C,1.9,0.4,2,5.9
Tyler Cook,22,2TM,PF,1.8,0.1,1.1,4.2
Tyler Cook,22,CLE,PF,1.7,0.1,0.9,3.2
Tyler Cook,22,DEN,SF,2,0,2,9.5
Ed Davis,30,UTA,C,1.8,0.4,3.8,10.8
Devon Hall,24,OKC,PG,1.8,1.2,0.6,7.4
Justin Patton,22,OKC,C,1.8,0.4,1,4.8
Kevin Hervey,23,OKC,PF,1.7,0.5,1.2,5.2
Luc Mbah a Moute,33,HOU,PF,1.7,0,0.7,8.3
Juwan Morgan,22,UTA,PF,1.7,0.3,1.4,6.4
Chasson Randle,26,GSW,PG,1.7,1.7,0.7,13.3
Dean Wade,23,CLE,PF,1.7,0.2,1.6,5.9
Jared Dudley,34,LAL,PF,1.5,0.6,1.2,8.1
Josh Magette,30,ORL,PG,1.5,0.6,0.8,4.8
Jonah Bolden,24,2TM,C,1.4,0,1.3,6.7
Jonah Bolden,24,PHI,C,1,0,0.3,3.5
Jonah Bolden,24,PHO,C,2,0,2.7,11
Kostas Antetokounmpo,22,LAL,PF,1.4,0.4,0.6,4
KZ Okpala,20,MIA,PF,1.4,0.2,1,5.2
Justin Robinson,22,WAS,PG,1.4,0.8,0.6,5.4
Nigel Williams-Goss,25,UTA,PG,1.4,0.6,0.6,5
Tyson Chandler,37,HOU,C,1.3,0.2,2.5,8.4
Kyle Guy,22,SAC,SG,1.3,0.3,0.3,3.3
Malcolm Miller,26,TOR,SF,1.3,0.4,0.6,5.8
Tariq Owens,24,PHO,PF,1.3,0,1,5
Jordan Bone,22,DET,PG,1.2,0.8,0.4,5.3
Moses Brown,20,POR,C,1.2,0.1,1.6,3.7
Vlatko Čančar,22,DEN,PF,1.2,0.2,0.7,3.2
Zhaire Smith,20,PHI,SF,1.1,0.3,0.3,4.6
Jarred Vanderbilt,20,2TM,PF,1.1,0.2,0.8,4.2
Jarred Vanderbilt,20,DEN,PF,1.1,0.2,0.9,4.6
Jarred Vanderbilt,20,MIN,PF,1,0,0.5,2.5
Quinndary Weatherspoon,23,SAS,SG,1.1,1,0.6,7.1
Kyle Alexander,23,MIA,C,1,0,1.5,6.5
Brian Bowen,21,IND,SF,1,0,1.2,5.2
Corey Brewer,33,SAC,PF,1,0.4,1.6,6.6
Antonius Cleveland,25,DAL,SG,1,0.1,0.6,4.2
Josh Gray,26,NOP,PG,1,1,1,11.5
Tyler Zeller,30,SAS,C,1,0,2,2
Amile Jefferson,26,ORL,PF,0.8,0.2,1.3,4.1
Daryl Macon,24,MIA,PG,0.8,0.3,0,3.5
Jared Harper,22,PHO,PG,0.7,0,0,2.7
Joe Chealey,24,CHO,PG,0.5,0.3,0,8.3
Matt Mooney,22,CLE,SG,0.5,0.3,0.8,4.8
Henry Ellenson,23,BRK,C,0.4,0.2,1.2,3
Marques Bolden,21,CLE,C,0,0,2,3
William Howard,26,HOU,PF,0,0.5,1,6.5
Stanton Kidd,27,UTA,SG,0,0.3,0.8,3.8
J.P. Macura,24,CLE,SG,0,0,0,1
Isaiah Roby,21,OKC,PF,0,0,0.7,3.7
League Average,,,,,,,
